Substrate,Ontology,Top_Boundary,Total_Count,Global_Slow,Local_Slow,Global_Fast,Local_Fast
HYBRID,P0_STATE_LOCAL,SMOOTH_HYPERSURFACE,26,5,3,0,0
HYBRID,P1_PATTERN_SPATIOTEMPORAL,GLOBAL_DISCONTINUITY,22,0,0,0,0
HYBRID,P2_GLOBAL_INVARIANT,COMBINATORIAL_THRESHOLD,18,0,0,0,0
HYBRID,P3_ALGORITHMIC_SYNDROME,SINGULAR_DIVERGENCE,15,0,0,0,0
HYBRID,P4_DISTRIBUTIONAL_EQUILIBRIUM,DISTRIBUTIONAL_COLLAPSE,30,0,0,0,0
CONTINUOUS_TOPOLOGICAL,P0_STATE_LOCAL,GLOBAL_DISCONTINUITY,8,5,0,0,0
CONTINUOUS_TOPOLOGICAL,P1_PATTERN_SPATIOTEMPORAL,GLOBAL_DISCONTINUITY,5,4,0,0,0
CONTINUOUS_TOPOLOGICAL,P2_GLOBAL_INVARIANT,GLOBAL_DISCONTINUITY,4,0,0,0,0
CONTINUOUS_TOPOLOGICAL,P3_ALGORITHMIC_SYNDROME,GLOBAL_DISCONTINUITY,2,0,0,0,0
CONTINUOUS_TOPOLOGICAL,P4_DISTRIBUTIONAL_EQUILIBRIUM,COMBINATORIAL_THRESHOLD,1,0,0,0,0
STOCHASTIC,P0_STATE_LOCAL,DISTRIBUTIONAL_COLLAPSE,39,0,0,0,0
STOCHASTIC,P1_PATTERN_SPATIOTEMPORAL,DISTRIBUTIONAL_COLLAPSE,23,0,0,0,0
STOCHASTIC,P2_GLOBAL_INVARIANT,DISTRIBUTIONAL_COLLAPSE,15,0,0,0,0
STOCHASTIC,P3_ALGORITHMIC_SYNDROME,DISTRIBUTIONAL_COLLAPSE,18,0,0,0,0
STOCHASTIC,P4_DISTRIBUTIONAL_EQUILIBRIUM,DISTRIBUTIONAL_COLLAPSE,48,0,0,0,0
CONTINUOUS_FIELD,P0_STATE_LOCAL,SMOOTH_HYPERSURFACE,63,4,15,0,0
CONTINUOUS_FIELD,P1_PATTERN_SPATIOTEMPORAL,SMOOTH_HYPERSURFACE,39,8,9,0,0
CONTINUOUS_FIELD,P2_GLOBAL_INVARIANT,SMOOTH_HYPERSURFACE,23,0,0,0,0
CONTINUOUS_FIELD,P3_ALGORITHMIC_SYNDROME,SMOOTH_HYPERSURFACE,23,0,0,0,0
CONTINUOUS_FIELD,P4_DISTRIBUTIONAL_EQUILIBRIUM,SMOOTH_HYPERSURFACE,25,0,0,0,0
DISCRETE_SYMBOLIC,P0_STATE_LOCAL,COMBINATORIAL_THRESHOLD,26,0,0,0,0
DISCRETE_SYMBOLIC,P1_PATTERN_SPATIOTEMPORAL,COMBINATORIAL_THRESHOLD,26,0,0,0,0
DISCRETE_SYMBOLIC,P2_GLOBAL_INVARIANT,COMBINATORIAL_THRESHOLD,46,0,0,12,0
DISCRETE_SYMBOLIC,P3_ALGORITHMIC_SYNDROME,COMBINATORIAL_THRESHOLD,49,0,0,22,1
DISCRETE_SYMBOLIC,P4_DISTRIBUTIONAL_EQUILIBRIUM,COMBINATORIAL_THRESHOLD,22,0,0,0,0